"Term","Beta","SE","z","p"
"Susceptible pine basal area (m2/ha)","+0.536","0.015","35.25","< 0.001"
"Stand basal area (m2/ha)","+0.504","0.027","18.59","< 0.001"
"Flight-window direct radiation (kWh/m2)","+0.497","0.030","16.49","< 0.001"
"Windward-leeward index","+0.394","0.030","13.31","< 0.001"
"Quadratic mean diameter (cm)","-0.362","0.025","-14.47","< 0.001"
"Elevation (m)","+0.337","0.018","18.44","< 0.001"
"Northness","+0.305","0.015","19.79","< 0.001"
"Stand age (years)","+0.260","0.017","14.98","< 0.001"
"Flight-window calm hours (share below 5 km/h)","-0.131","0.019","-6.81","< 0.001"
"Topographic wetness index","+0.130","0.020","6.53","< 0.001"
"Crown closure (%)","-0.125","0.022","-5.80","< 0.001"
"July mean wind (km/h)","+0.119","0.016","7.43","< 0.001"
"Valley depth (m)","-0.104","0.022","-4.66","< 0.001"
"Stand basal area x Flight-window direct radiation","+0.103","0.021","4.90","< 0.001"
"Topographic position index","+0.094","0.024","3.92","< 0.001"
"Stand basal area x Flight-window calm hours","+0.085","0.016","5.36","< 0.001"
"Mid-slope position","+0.068","0.014","4.99","< 0.001"
"June mean wind (km/h)","+0.055","0.015","3.76","< 0.001"
"Vector ruggedness measure","-0.052","0.021","-2.49","0.013"
"Live stems (n/ha)","+0.051","0.017","3.01","0.003"
"Profile curvature","-0.042","0.013","-3.26","0.001"
"Stand basal area x Windward-leeward index","-0.040","0.024","-1.65","0.098"
"Convergence index","-0.025","0.014","-1.73","0.083"
"Terrain ruggedness index","-0.005","0.025","-0.19","0.848"
