"hour","in_gate","in_peak","wind","temp"
1,0.0516881522406384,0.00859422958870473,5.37284049819205,11.7730632289748
2,0.0311924352204347,0.00319292643988702,5.21291705748359,11.1586516026035
3,0.0205008593174564,0.00135035600294623,5.05327978580991,10.5977903265406
4,0.0137406453195927,0.000981474665685192,4.98608323297203,10.1404367562262
5,0.00966183574879227,0.000210039907582441,4.63116236996834,10.0283238815375
6,0.0191936816971255,0.000551014785563413,4.6327269170579,10.3260446321976
7,0.0621500045901037,0.00697695767924355,4.79933470306232,11.8760580189112
8,0.148529411764706,0.0321691176470588,5.50607128867998,13.7491911764706
9,0.273378651478964,0.0999448833363954,6.47460115493785,15.6361289729928
10,0.403199117484832,0.20978120978121,7.6144578313253,17.3838849053135
11,0.513555739362191,0.322672548479,8.65308920003917,18.9650215972797
12,0.587899963221773,0.402629643251195,9.48143794690959,20.2253953659434
13,0.633587786259542,0.44100064379656,10.0945005391628,21.1250988687575
14,0.649940262843489,0.453175259626873,10.3928711320016,21.6478448671997
15,0.651962135833104,0.45005054682474,10.3954558809127,21.8338388015807
16,0.639830897895414,0.438562632111019,10.169131328959,21.6465306497565
17,0.605862892850579,0.416099981621026,9.51978065021543,21.0191876493292
18,0.538906752411576,0.3632521819017,8.5050930460333,19.732328892972
19,0.443649373881932,0.270651373250552,7.40536867142372,18.1323476796801
20,0.332106812447435,0.167157275021026,6.52081918986196,16.4586627417998
21,0.235034347399411,0.0884445534838077,6.42117237687366,15.0170878312071
22,0.169019270897263,0.0548668221431202,6.06813010306519,14.0770713145943
23,0.114478527607362,0.0303067484662577,5.74963200856416,13.2349570552147
